Protein_Accession	Sequence_MD5_digest	Sequence_Length	Analysis	Signature_Accession	Signature_Description	Start_Location	Stop_location	E-value_Score	Status	Date	InterPro_annotations_accession	InterPro_annotations_description
S1278	8f5f2d2f2fcb6206cfc59575b36c227d	46	SUPERFAMILY	SSF56300		1	46	2.17E-7	T	18-04-2018
S3212	60ed3729a757010da79559d6efd26162	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S2502	91748f1dfbf9229f77b5b023b79b4fee	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	98	-	T	18-04-2018
S0891	22ef949bee1f3bd8f2104937becf9845	88	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	18-04-2018
S1080	1554db25fa490cd38095b6f2e9e88fd7	154	MobiDBLite	mobidb-lite	consensus disorder prediction	52	154	-	T	18-04-2018
S1080	1554db25fa490cd38095b6f2e9e88fd7	154	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	18-04-2018
S1366	e3de1c1993a77cdc406d5fef3ae5121d	56	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S1356	69c46a523498fd3598fa9abdfbf74a77	40	SUPERFAMILY	SSF50998		2	33	7.33E-5	T	18-04-2018	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
S2430	f797e883341976d04ceed51f45167d7f	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S0829	54e7a232387ecc3d1b48ebea9e7a97c2	99	Gene3D	G3DSA:3.10.20.70		11	99	1.5E-14	T	18-04-2018	IPR036651	Glutamine synthetase, N-terminal domain superfamily
S0829	54e7a232387ecc3d1b48ebea9e7a97c2	99	SUPERFAMILY	SSF54368		13	96	3.4E-17	T	18-04-2018	IPR036651	Glutamine synthetase, N-terminal domain superfamily
S0583	a4fd759187b1a0737fdefffc43128eba	110	MobiDBLite	mobidb-lite	consensus disorder prediction	1	77	-	T	18-04-2018
S2434	0132356f41b7fca0da7ca747b0edf32f	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S2374	a92dfc5cc9a40b3cb7e52475857e3b4f	120	MobiDBLite	mobidb-lite	consensus disorder prediction	1	64	-	T	18-04-2018
S3190	04e576613a224e87826d14ffebb1daf5	45	MobiDBLite	mobidb-lite	consensus disorder prediction	1	45	-	T	18-04-2018
S3382	116040131d94ee7e4741ecc646bf09f4	106	MobiDBLite	mobidb-lite	consensus disorder prediction	45	106	-	T	18-04-2018
S0417	365d835ff824c428a4f5d6c7643eeb4b	38	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	18-04-2018
S2606	a41ef9a378bd787c6f3e0b10136b1305	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S2579	121df4210d86029b83aa3aead7553cfd	96	MobiDBLite	mobidb-lite	consensus disorder prediction	1	96	-	T	18-04-2018
S0384	74ed773813d927ff059780ffe66b8053	37	MobiDBLite	mobidb-lite	consensus disorder prediction	17	37	-	T	18-04-2018
S2366	7fac02a4623c038ceeb5b5ff15f0681f	42	MobiDBLite	mobidb-lite	consensus disorder prediction	19	42	-	T	18-04-2018
S2611	727d560641f3eaff8f984216ac58e41f	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S0028	77073de1e7828a9bd13b46ccbad5c0a6	61	MobiDBLite	mobidb-lite	consensus disorder prediction	40	61	-	T	18-04-2018
S0028	77073de1e7828a9bd13b46ccbad5c0a6	61	Coils	Coil		16	36	-	T	18-04-2018
S0401	b948ba1b9cbd6ebc92627225534f3073	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S1996	9c935e34fd9758b1abdaae2a7c91e45a	44	SUPERFAMILY	SSF53383		1	44	3.25E-9	T	18-04-2018	IPR015424	Pyridoxal phosphate-dependent transferase
S1996	9c935e34fd9758b1abdaae2a7c91e45a	44	Gene3D	G3DSA:3.40.640.10		1	44	6.3E-10	T	18-04-2018	IPR015421	Pyridoxal phosphate-dependent transferase, major domain
S2342	dc90fa17c0792f937f73af2e0ed61233	54	Gene3D	G3DSA:1.20.140.10		1	54	7.8E-17	T	18-04-2018
S2342	dc90fa17c0792f937f73af2e0ed61233	54	SUPERFAMILY	SSF47203		2	53	1.59E-9	T	18-04-2018	IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
S2342	dc90fa17c0792f937f73af2e0ed61233	54	Pfam	PF03241	4-hydroxyphenylacetate 3-hydroxylase C terminal	2	53	1.7E-11	T	18-04-2018	IPR024719	HpaB/PvcC/4-BUDH C-terminal
S0187	4a9b4bcbc84f1e5dfd83cb7bdfd463ba	47	MobiDBLite	mobidb-lite	consensus disorder prediction	21	47	-	T	18-04-2018
S2403	50cfe3439d22ec7b68c94eccb5fe1276	102	MobiDBLite	mobidb-lite	consensus disorder prediction	20	41	-	T	18-04-2018
S2314	fa67bb93c38a7b9ca913e7923e2a0cc9	33	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S0188	040cef349fe8f571d2b4780df11c30bd	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S2941	c46d8a4f6c6e62f69ead4e005312b10d	148	Gene3D	G3DSA:3.50.50.60		1	148	7.6E-36	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2941	c46d8a4f6c6e62f69ead4e005312b10d	148	Pfam	PF04820	Tryptophan halogenase	4	147	6.0E-39	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0459	0be49dd5b65dac44200ae3c642aba3c9	30	SUPERFAMILY	SSF55021		2	29	1.85E-5	T	18-04-2018
S0459	0be49dd5b65dac44200ae3c642aba3c9	30	Gene3D	G3DSA:3.30.70.260		2	30	1.6E-5	T	18-04-2018
S2657	dc9a45dfc0b94c1880b8db6a8fe4c24b	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S2414	9591115896abbfc0337bae7e829e4941	104	MobiDBLite	mobidb-lite	consensus disorder prediction	1	104	-	T	18-04-2018
S2464	3e9422a7e94894c6c6cf337682026724	148	MobiDBLite	mobidb-lite	consensus disorder prediction	1	98	-	T	18-04-2018
S0963	6bbf3a74d4ba965a894ea5da24b205b0	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S2215	36b9d492f43ff92678d6015ec1ed86de	76	MobiDBLite	mobidb-lite	consensus disorder prediction	1	76	-	T	18-04-2018
S0407	e652ba906879b191f302fb8198f2835b	55	MobiDBLite	mobidb-lite	consensus disorder prediction	1	55	-	T	18-04-2018
S0110	b4fdcc4c1a08300dd841be1845e05c8f	50	MobiDBLite	mobidb-lite	consensus disorder prediction	23	50	-	T	18-04-2018
S1961	c2f9f3542ff5773e6a29ed455564e9de	29	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S3354	b39fea8dc471858c11307db56edd5e6c	69	Gene3D	G3DSA:3.40.50.1010		3	69	1.2E-11	T	18-04-2018
S3354	b39fea8dc471858c11307db56edd5e6c	69	SUPERFAMILY	SSF88723		4	67	1.57E-8	T	18-04-2018	IPR029060	PIN-like domain superfamily
S1161	30946c14d9a76cf713d2cebba6e353d2	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S1066	80512434601843e4d7c3f20ea4440adf	82	Pfam	PF02538	Hydantoinase B/oxoprolinase	2	79	6.0E-20	T	18-04-2018	IPR003692	Hydantoinase B/oxoprolinase
S0879	ac4329c1b615f028aefd41ff5a459d3d	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S2422	85b99acdc24f54dbc6ffff9119333a40	41	MobiDBLite	mobidb-lite	consensus disorder prediction	1	41	-	T	18-04-2018
S1975	430b1ce103e2609800ea1b5f91fe3e77	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S3560	d260b19b935acb1b033fc1fc0ad78360	47	MobiDBLite	mobidb-lite	consensus disorder prediction	28	47	-	T	18-04-2018
S2168	85dd725d7bd225b24028ba8e1428296b	73	Coils	Coil		25	45	-	T	18-04-2018
S2413	6521b40f9e1d556284c26d2d73e585e9	99	MobiDBLite	mobidb-lite	consensus disorder prediction	1	99	-	T	18-04-2018
S0515	6802505a89bacb41dc4b1698c2b2dc94	43	MobiDBLite	mobidb-lite	consensus disorder prediction	20	43	-	T	18-04-2018
S2086	b194fd0b7edae49911c87704cc643a30	152	Pfam	PF04820	Tryptophan halogenase	2	152	1.6E-25	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2086	b194fd0b7edae49911c87704cc643a30	152	Gene3D	G3DSA:3.50.50.60		1	152	1.1E-34	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2086	b194fd0b7edae49911c87704cc643a30	152	SUPERFAMILY	SSF51905		92	150	4.54E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1618	0a621e32326bafa65798efedfa8ddea2	36	Pfam	PF04290	Tripartite ATP-independent periplasmic transporters, DctQ component	6	35	1.2E-6	T	18-04-2018	IPR007387	Tripartite ATP-independent periplasmic transporter, DctQ component
S2105	16f97ad14d7e71374adac8c17a268a76	160	Gene3D	G3DSA:3.50.50.60		1	160	2.0E-25	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2105	16f97ad14d7e71374adac8c17a268a76	160	Pfam	PF04820	Tryptophan halogenase	2	159	8.7E-16	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2881	e57b0b7aadf3507e7c565469e25abb8f	67	Gene3D	G3DSA:3.40.630.10		2	67	6.4E-10	T	18-04-2018
S2321	d6f17524b016ca942e5cd9084514edab	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S2519	17cd90103e1f4fca1f5406b67dbd846d	33	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S1941	9830cfa689c6f8a49ac25bf8e5db5b87	31	MobiDBLite	mobidb-lite	consensus disorder prediction	12	31	-	T	18-04-2018
S0968	48f1ad9fe2c246a165459ac90233ca80	35	Pfam	PF13243	Squalene-hopene cyclase C-terminal domain	2	35	3.4E-9	T	18-04-2018	IPR032696	Squalene cyclase, C-terminal
S3375	1cd7473cc2775322c126b2440d94afdb	106	MobiDBLite	mobidb-lite	consensus disorder prediction	75	106	-	T	18-04-2018
S2620	b4e69e68bd98f4a132527fed7ac11014	55	Pfam	PF06986	Type-1V conjugative transfer system mating pair stabilisation	2	55	3.2E-8	T	18-04-2018	IPR014121	Type-F conjugative transfer system mating-pair stabilisation protein TraN
S1918	272ae70a88b259e36bb47bfd6e15d287	54	SUPERFAMILY	SSF51735		2	53	3.31E-6	T	18-04-2018	IPR036291	NAD(P)-binding domain superfamily
S1918	272ae70a88b259e36bb47bfd6e15d287	54	Gene3D	G3DSA:3.40.50.720		1	54	2.6E-7	T	18-04-2018
S0123	acd05a7f97da1e5fa198e519fce90909	54	MobiDBLite	mobidb-lite	consensus disorder prediction	1	54	-	T	18-04-2018
S3579	5a6285b92c4384505b245c2c767c2fd9	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S2292	86124089165f2c3dbaa265d390f3d94c	28	Pfam	PF02167	Cytochrome C1 family	1	28	4.4E-11	T	18-04-2018	IPR002326	Cytochrome c1
S3374	db95ea9efff122e1646868fa054999a3	106	MobiDBLite	mobidb-lite	consensus disorder prediction	34	56	-	T	18-04-2018
S3374	db95ea9efff122e1646868fa054999a3	106	MobiDBLite	mobidb-lite	consensus disorder prediction	75	106	-	T	18-04-2018
S3094	68e389b96cfa60a7e2987f78b691e00b	152	Pfam	PF04820	Tryptophan halogenase	5	114	3.7E-31	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3094	68e389b96cfa60a7e2987f78b691e00b	152	Gene3D	G3DSA:3.50.50.60		1	118	4.0E-26	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2767	ab0ccdf286043b469d2a213ee93752a0	44	MobiDBLite	mobidb-lite	consensus disorder prediction	1	44	-	T	18-04-2018
S0881	0db2d5d3a2a70cc77d047bc0094725e7	44	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S1376	376bd56f79ce46cd43b3a17f3f2b2644	56	Pfam	PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit	2	55	5.5E-20	T	18-04-2018	IPR005661	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
S0945	f1dfb731507df82b43b3746d0e9e2433	77	MobiDBLite	mobidb-lite	consensus disorder prediction	41	77	-	T	18-04-2018
S3171	32363d14d32b50194847269c017172e0	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S2581	509b2159bfd7c45432d7d8c46b32dc1c	84	MobiDBLite	mobidb-lite	consensus disorder prediction	37	84	-	T	18-04-2018
S3558	3b0b54945c89aa1811942fd2387a8a88	69	MobiDBLite	mobidb-lite	consensus disorder prediction	1	69	-	T	18-04-2018
S0090	4f40c65bb3eb47cddd51c3346a5a8fe5	38	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	18-04-2018
S1484	a150f797be86a96b0b213320cd9323d3	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S2143	115cab9197a997e24c8b52275211fcb4	71	PRINTS	PR01217	Proline rich extensin signature	1	8	2.1E-10	T	18-04-2018
S2143	115cab9197a997e24c8b52275211fcb4	71	PRINTS	PR01217	Proline rich extensin signature	38	63	2.1E-10	T	18-04-2018
S2143	115cab9197a997e24c8b52275211fcb4	71	PRINTS	PR01217	Proline rich extensin signature	11	28	2.1E-10	T	18-04-2018
S2143	115cab9197a997e24c8b52275211fcb4	71	MobiDBLite	mobidb-lite	consensus disorder prediction	1	71	-	T	18-04-2018
S0982	04dbade5d5bf1846b188e960a54b3f3c	88	Gene3D	G3DSA:3.40.50.12780		1	86	6.2E-14	T	18-04-2018
S0982	04dbade5d5bf1846b188e960a54b3f3c	88	SUPERFAMILY	SSF56801		1	84	1.57E-17	T	18-04-2018
S0982	04dbade5d5bf1846b188e960a54b3f3c	88	Pfam	PF00501	AMP-binding enzyme	1	81	3.6E-10	T	18-04-2018	IPR000873	AMP-dependent synthetase/ligase
S3475	0ae8cf96540f098d223dede49b13efcd	50	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
S0584	0c92b2d5e12a09a4dcc457bab9c3d625	29	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S1318	2d209b2c2dff5410d7366ae5731b126d	30	SUPERFAMILY	SSF55021		1	29	2.75E-7	T	18-04-2018
S1318	2d209b2c2dff5410d7366ae5731b126d	30	Gene3D	G3DSA:3.30.70.260		1	30	8.8E-8	T	18-04-2018
S1318	2d209b2c2dff5410d7366ae5731b126d	30	CDD	cd04880	ACT_AAAH-PDT-like	1	30	1.68316E-10	T	18-04-2018
S1611	8ca5697d691b3e537d8bf8c0851e8a17	83	SUPERFAMILY	SSF110296		5	79	1.31E-20	T	18-04-2018
S1611	8ca5697d691b3e537d8bf8c0851e8a17	83	Gene3D	G3DSA:2.130.10.10		1	80	1.2E-20	T	18-04-2018	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
S2204	8e2578f7a3bd4d70b2a02c73eb695679	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S3568	88a08286fd62d5e7c5281cd1e44a989e	43	MobiDBLite	mobidb-lite	consensus disorder prediction	1	43	-	T	18-04-2018
S0072	26e6d26e97bd9db8e5b8f612657962ec	93	Coils	Coil		35	55	-	T	18-04-2018
S0749	5981d259f3f21903857ead8adb0638d7	147	MobiDBLite	mobidb-lite	consensus disorder prediction	108	147	-	T	18-04-2018
S0749	5981d259f3f21903857ead8adb0638d7	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S0457	108ffd71566f272b9f34e73be8f1e606	33	Gene3D	G3DSA:3.40.720.10		1	33	3.3E-7	T	18-04-2018	IPR017849	Alkaline phosphatase-like, alpha/beta/alpha
S0457	108ffd71566f272b9f34e73be8f1e606	33	SUPERFAMILY	SSF53649		3	32	3.6E-6	T	18-04-2018	IPR017850	Alkaline-phosphatase-like, core domain superfamily
S2578	89345b2e4a49c71c8a09331fd3109918	33	Gene3D	G3DSA:3.90.230.10		1	33	6.4E-6	T	18-04-2018
S2578	89345b2e4a49c71c8a09331fd3109918	33	SUPERFAMILY	SSF55920		6	33	2.09E-5	T	18-04-2018	IPR036005	Creatinase/aminopeptidase-like
S3529	aa2558c7b98c4038d9fc5d4f85077cee	42	MobiDBLite	mobidb-lite	consensus disorder prediction	9	42	-	T	18-04-2018
S1210	7c2c28f9c16008690ebf3e236ab9fd70	36	SUPERFAMILY	SSF143517		3	35	1.31E-6	T	18-04-2018	IPR037235	TRCF-like, C-terminal domain
S0472	bac6eed53f3ac22db2015ad3916a13d7	30	Gene3D	G3DSA:3.30.70.260		2	30	2.3E-5	T	18-04-2018
S0472	bac6eed53f3ac22db2015ad3916a13d7	30	SUPERFAMILY	SSF55021		2	29	5.72E-5	T	18-04-2018
S1398	341dbe4932795a21e6b0dd53d29d5d94	45	Pfam	PF00593	TonB dependent receptor	11	42	1.7E-4	T	18-04-2018	IPR000531	TonB-dependent receptor-like, beta-barrel
S1398	341dbe4932795a21e6b0dd53d29d5d94	45	SUPERFAMILY	SSF56935		10	42	3.33E-5	T	18-04-2018
S1398	341dbe4932795a21e6b0dd53d29d5d94	45	Gene3D	G3DSA:2.40.170.20		2	44	1.2E-5	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S2879	feb7345a76a76f3533cf4ef0390af16c	48	MobiDBLite	mobidb-lite	consensus disorder prediction	24	48	-	T	18-04-2018
S0902	f7e7ef400b90ee04c2742458655327b8	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S2639	a0638cd47b96691f0774da277b27a493	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S0648	1b7dac21b98e2238253b0af322ada574	58	MobiDBLite	mobidb-lite	consensus disorder prediction	1	58	-	T	18-04-2018
S0948	f02219eb3a8e0615ba0c5d7952412b5d	77	MobiDBLite	mobidb-lite	consensus disorder prediction	53	77	-	T	18-04-2018
S3653	ec8545afb71738c5d0de43f40945bf09	53	Gene3D	G3DSA:3.40.50.2300		1	53	1.0E-5	T	18-04-2018
S1870	a0f2e66199eebed788707a5370192fa6	52	MobiDBLite	mobidb-lite	consensus disorder prediction	28	52	-	T	18-04-2018
S0536	590c5f9eb8d6242ca1d8bf673d92a66c	40	SUPERFAMILY	SSF50998		1	33	5.89E-5	T	18-04-2018	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
S0730	cb2eb85b4c2c3e43c37bf2220b08743c	55	SUPERFAMILY	SSF53850		8	49	3.08E-11	T	18-04-2018
S0730	cb2eb85b4c2c3e43c37bf2220b08743c	55	Gene3D	G3DSA:3.90.76.10		4	55	1.0E-12	T	18-04-2018
S0730	cb2eb85b4c2c3e43c37bf2220b08743c	55	Pfam	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	9	48	1.2E-10	T	18-04-2018	IPR000914	Solute-binding protein family 5 domain
S1323	c010f2a96fc6396e6ec42e92ff14779f	30	Gene3D	G3DSA:3.30.70.260		1	30	6.5E-7	T	18-04-2018
S1323	c010f2a96fc6396e6ec42e92ff14779f	30	CDD	cd04880	ACT_AAAH-PDT-like	1	28	1.94027E-10	T	18-04-2018
S1323	c010f2a96fc6396e6ec42e92ff14779f	30	SUPERFAMILY	SSF55021		1	28	8.47E-7	T	18-04-2018
S1624	85c1b7e98aa3dec99de5ba94473ba53d	64	SUPERFAMILY	SSF53850		4	64	9.77E-5	T	18-04-2018
S0480	a965aefbf7ea036ecde6520586f653c7	30	CDD	cd04880	ACT_AAAH-PDT-like	2	30	3.78021E-10	T	18-04-2018
S0480	a965aefbf7ea036ecde6520586f653c7	30	Gene3D	G3DSA:3.30.70.260		2	30	1.6E-6	T	18-04-2018
S0480	a965aefbf7ea036ecde6520586f653c7	30	SUPERFAMILY	SSF55021		2	29	5.04E-6	T	18-04-2018
S0219	652a836f47f4270f3ec74b5e3d3ff7c9	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S1173	8d70fd03c272f5b02b3cf9f33994f2c6	33	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S0540	83b1802c5778645db35dbbffaf6db565	49	Gene3D	G3DSA:3.90.320.10		1	49	3.5E-20	T	18-04-2018	IPR011604	Exonuclease, phage-type/RecB, C-terminal
S0540	83b1802c5778645db35dbbffaf6db565	49	SUPERFAMILY	SSF52980		2	49	1.13E-14	T	18-04-2018	IPR011335	Restriction endonuclease  type II-like
S1022	455eeaa92fb7a251f5f7cba6e36005e5	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S0026	03929a61b66af45b7dc1e02bf3938b5c	65	Pfam	PF02897	Prolyl oligopeptidase, N-terminal beta-propeller domain	2	62	2.8E-7	T	18-04-2018	IPR023302	Peptidase S9A, N-terminal domain
S0026	03929a61b66af45b7dc1e02bf3938b5c	65	Gene3D	G3DSA:2.130.10.120		1	65	1.7E-16	T	18-04-2018
S2631	9894788e4602e7abf9d418a560e49c03	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S2552	08baffe829f459a5cbc610c50a1ac17a	34	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
S1411	39f6debd4e4dcda4046ca9258c8a15b6	46	MobiDBLite	mobidb-lite	consensus disorder prediction	26	46	-	T	18-04-2018
S3433	863d1289830065d7d0492d4d1065c67d	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S2432	9cbb718e379120e4c6d71bf4ae227cb7	70	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S3588	517de3943e53c3abcf9b6b7e86ffb130	49	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S2454	0d29df7213d09d9111a798ccef830c4e	37	MobiDBLite	mobidb-lite	consensus disorder prediction	17	37	-	T	18-04-2018
S2575	8d1707f7502adf90dd46f277edc8f963	78	SUPERFAMILY	SSF50985		7	63	6.93E-9	T	18-04-2018	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
S2575	8d1707f7502adf90dd46f277edc8f963	78	Gene3D	G3DSA:2.130.10.30		1	77	5.1E-12	T	18-04-2018	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
S2575	8d1707f7502adf90dd46f277edc8f963	78	Pfam	PF13540	Regulator of chromosome condensation (RCC1) repeat	42	63	8.3E-6	T	18-04-2018
S2064	1db2bd34f8560483c7acfe6344a1b958	76	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S0084	00f59bb3789b499d2f08a2e6c85a9857	38	Gene3D	G3DSA:3.20.20.210		1	38	1.5E-9	T	18-04-2018	IPR038071	UROD/MetE-like superfamily
S3181	a4b9022c478b7380ffc21e7a5ee49607	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S3349	c32822ff55df724968bc7245430238fe	101	MobiDBLite	mobidb-lite	consensus disorder prediction	16	101	-	T	18-04-2018
S1559	189da5ab6a2652833d1faeed73d5a2dd	81	MobiDBLite	mobidb-lite	consensus disorder prediction	27	75	-	T	18-04-2018
S0085	4801e00d5cf822bc2c7391a1fc1c6724	38	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	18-04-2018
S1838	7b44bb6f13933457d083b689037d557c	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S2095	a640f4ed089ce3167887239331da9ade	67	Pfam	PF04820	Tryptophan halogenase	2	50	2.2E-9	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2095	a640f4ed089ce3167887239331da9ade	67	Gene3D	G3DSA:3.50.50.60		1	66	1.7E-13	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2240	373c876d5446cd18ae59d03954e1dc29	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	101	-	T	18-04-2018
S1532	b23b2772e41978ee45a5fad2560ae8f0	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	18-04-2018
S1302	c4e10ef1db8d59edd30aef211abef8d6	33	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S0474	527fcde749525abaa104395c5fc18ddc	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S1309	17383b697617e3e889f7d63a7d05697f	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S0440	d078cffda66756a744496d7b4b3b072e	53	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S1126	679ae080cd4a76c3f6efa849c431d05a	43	SUPERFAMILY	SSF50129		9	42	2.45E-5	T	18-04-2018	IPR011032	GroES-like superfamily
S1040	988ca790219e71c47d168f4eb86c47b2	34	Pfam	PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	10	34	8.1E-7	T	18-04-2018	IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal
S2160	e84d4232bd1c512edd817a59e20dc3c0	146	SUPERFAMILY	SSF53659		1	146	3.29E-49	T	18-04-2018
S2160	e84d4232bd1c512edd817a59e20dc3c0	146	Gene3D	G3DSA:3.40.718.10		1	146	3.0E-71	T	18-04-2018
S2160	e84d4232bd1c512edd817a59e20dc3c0	146	Pfam	PF00180	Isocitrate/isopropylmalate dehydrogenase	2	145	1.0E-15	T	18-04-2018	IPR024084	Isopropylmalate dehydrogenase-like domain
S2311	2add895e081e92535d6449a94165c3ba	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S2333	ed8cd9777195d3dab768c7e8200fe3e9	61	MobiDBLite	mobidb-lite	consensus disorder prediction	26	61	-	T	18-04-2018
S1062	eda6bb97e5aa5070446b325926aa009c	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S1962	74b7178d84021069caf81533048e9c35	29	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S3647	384bbecfa7e9b86beeb044a27cfe7073	45	MobiDBLite	mobidb-lite	consensus disorder prediction	1	45	-	T	18-04-2018
S1339	06b1dd32f7bd5eaacf758c8e7adb05de	101	MobiDBLite	mobidb-lite	consensus disorder prediction	1	88	-	T	18-04-2018
S3379	3783b2df95f7291f680a854455cb9a72	106	MobiDBLite	mobidb-lite	consensus disorder prediction	74	106	-	T	18-04-2018
S2298	0c44f169d5acd1ea018abf9a03ee5c78	38	Pfam	PF08811	Protein of unknown function (DUF1800)	5	37	4.6E-8	T	18-04-2018	IPR014917	Protein of unknown function DUF1800
S2632	cd305282f5bc582740684ff68e18ce8d	49	Pfam	PF07586	Protein of unknown function (DUF1552)	2	48	1.5E-11	T	18-04-2018	IPR011447	Protein of unknown function DUF1552
S1976	43ca16f3d7a8ab16b70966404049fd70	34	SUPERFAMILY	SSF55486		7	33	8.79E-5	T	18-04-2018
S3186	56204379615fc99ab15638debf2c0b0a	34	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
